title,abstract,summary,rouge-1 score
G R ] 5 J un 2 00 8 A note on Artin-Markov normal form theorem for braid groups ∗,"In a recent paper by L. A. Bokut, V. V. Chaynikov and K. P. Shum in 2007, Braid group Bn is represented by Artin-Burau’s relations. For such a representation, it is told that all other compositions can be checked in the same way. In this note, we support this claim and check all compositions.",Patients and Methods: Prospective study involving 50 patients who underwent rhinoplasty with use,"[0.0, 0.0, 0.0]"
Low Overhead Soft Error Mitigation Techniques for High-Performance and Aggressive Designs,"The threat of soft error induced system failure in computing systems has become more prominent, as we adopt ultradeep submicron process technologies. In this paper, we propose two efficient soft error mitigation schemes, namely, Soft Error Mitigation (SEM) and Soft and Timing Error Mitigation (STEM), using the approach of multiple clocking of data for protecting combinational logic blocks from soft errors. Our first technique, SEM, based on distributed and temporal voting of three registers, unloads the soft error detection overhead from the critical path of the systems. SEM is also capable of ignoring false errors and recovers from soft errors using in-situ fast recovery avoiding recomputation. Our second technique, STEM, while tolerating soft errors, adds timing error detection capability to guarantee reliable execution in aggressively clocked designs that enhance system performance by operating beyond worst-case clock frequency. We also present a specialized low overhead clock phase management scheme that ably supports our proposed techniques. Timing-annotated gate-level simulations, using 45 nm libraries, of a pipelined adder-multiplier and DLX processor show that both our techniques achieve near 100 percent fault coverage. For DLX processor, even under severe fault injection campaigns, SEM achieves an average performance improvement of 26.58 percent over a conventional triple modular redundancy voter-based soft error mitigation scheme, while STEM outperforms SEM by 27.42 percent.","soft error mitigation schemes, namely, Soft Error Mitigation (SEM) and Soft","[0.36363636363636365, 0.3333333333333333, 0.34782608695652173]"
Angular dependence of AC transport losses in multifilamentary Bi-2223/Ag tape on external DC magnetic fields,"AC transport losses, in multifilamentary BSCCO-2223 silver sheathed tapes, as a function of the applied external magnetic field and its direction with respect to the plane of the samples, are reported. The measurements were carried out at 77 K and at frequency of 80 Hz. The AC transport current values through the tapes, in the range of 10 to 70 percent of their DC critical current values, were kept constant, while rotating the external magnetic field. Also, in a similar way, DC critical current angular characteristics were measured. The transport losses, as a function of the angle and the magnetic field, scale when using the analogous DC critical current relations. Obtained results are compared with theoretical models for the self-field losses.","of the angle and the magnetic field, scale when using the analogous DC critical current","[0.26666666666666666, 0.23529411764705882, 0.25]"
A Batch Arrival Queue System with Coxian-2 Server Vacations and Admissibility Restricted,"The M/G/1 classic queueing system were extended by many authors in last two decades. The systems with server’s vacation are important models that extend the M/G/1 queueing system. Also another conditions such as admissibility restricted may occure in systems. From this motivation, in this system I consider a single server queue with batch arrival Poisson input. There is a restricted admissibility of arriving batches in which not all batches are allowed to join the system at all times. At each service completion epoch, the server may apt to take a vacation with probability θ or else with probability 1 − θ may continue to be available in the system for the next service. The vacation period of the server has two heterogenous phases. Phase one is compulsory, and phase two follows the phase one vacation in such a way that the server may take phase two with probability p or may return back to the system with probability 1 − p. The vacation times are assumed to be general. All stochastic processes involved in this system (service and vacation times) are independent of each other. We derive the PGF’s of the system and by using them the informance measures are obtained. Some numerical approaches are examined the validity of results.",the server may take phase two with probability p or may return,"[0.16666666666666666, 0.15384615384615385, 0.16]"
Red Thick Disks of Nearby Galaxies,"Edge on systems reveal the properties of disk galaxies as a function of height, z, above the plane. Four local edge-on galaxies, that are close enough to have been resolved into stars by the Hubble Space Telescope, show thick disks, composed of a red stellar population, which is old and relatively metal rich. Color gradients, ∆(V-I)/∆z, are zero or slightly positive. Favored models may have an explicit thick disk formation phase.",have an explicit thick disk formation,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
The Metal-Dielectric Transition in Semimetals in Extremely High Magnetic Fields .,"An analysis is given of a model of a semimetal with isotropic electron and hole spectra, separated in momentum space. The applied magnetic field is assumed to be strong enough to ensure that only one quantum level participates in each spectrum. The overlapping of levels is such that the Fermi energy is greater than the binding energy of the particle pairs. Weak point interaction is assumed to operate between the particles, which is valid for fields and dielectric constants that are not too high. The sign of the interaction can be arbitrary. Since the analysis is concerned with spinless fermions (degeneracy removed by the field), the system exhibits interactions between electrons and holes, but there is no interaction between particles of the same kind. It is shown that Cooper pairing of particles with the same charge is absent, but electron-hole excitons are formed, i.e., the transition to a dielectric takes place. The problem leads to ""parquet"" equations and is therefore solved only with logarithmic accuracy. A general method is developed for finding the ""anomalous"" averages corresponding to pairing, and the binding energies from ""asymmetric"" parquet vertices.",the Fermi energy is greater than the binding energy of the,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091]"
lnstitute AN ASSESSMENT OF THE SOIL-SAMPLING DENSITY AND SPATIAL DISTRIBUTION REQUIRED TO DETECT VIRULIFEROUS NEMA TODES ( NEMATODA : LONGIDORIDAE AND TRICHODORIDAE ) IN FIELDS by,"Twin soiI samples were colIected from 130 sampling points from each of eight fields, during a survey of 37 fields in eastern Scotland, to determine the spatial distribution of virus vector nematodes. Samples were taken from 10 to 19 cm depth at each site from ten 100 m transects each 11 m apart with distances between samples of 5 cm to 51.2 m. Virus was detected by bait-testing fieldsoiI in 10 cm dia., 650 cm3 plastic pots planted with Petunia hybrida and Cucumis sativus seedlings for four weeks. Symptoms in indicator plants, electron microscopy and the alkaline phosphatase version of F (ab')2 ELISA were used for virus identification. Viruses were recovered from seven sites with combinations of two viruses occurting at four sites: raspberry ringspot and arabis mosaic (AMV), raspberry tingspot and tornato black ring, and tornato black ting and tabacco rattle (TRV) al two sites, and TRV alone at three sites. AMV was recovered from all 35 samples containing its vector, Xiphinema diversicaudatum, whereas with alI other virus and vector combinations virus was not always recovered from samples containing vector nematodes and also the numbers of vector nematodes in samples dici not influente the recovery of virus. The disttibutions of all viruses were highly aggregated and an analysis of all possible pairs of samples, classified by their distances apart, revealed a high probabiIity for the recovery of virus from pairs of samples up to 8 m apart. Sampling for detecting nepoviruses and tobraviruses therefore should be based on a regular gtid lattice with 7 m between sampling points.",with alI other virus and vector combinations virus was not always recovered from samples containing vector nematodes and also the numbers of vector nematodes in samples,"[0.23076923076923078, 0.25, 0.24000000000000002]"
"Séparation des modèles de communication simultanée pour les réseaux : protocoles déterministes , avec bits aléatoires publics et privés . †","Nous étudions un modèle de communication à plusieurs joueurs, où les joueurs correspondent aux noeuds d’un réseau. Chaque joueur connaı̂t la taille du réseau, son identifiant ainsi que ceux de ses voisins. Les joueurs envoient simultanément un unique message à un arbitre, qui doit décider une propriété du graphe. L’objectif de l’article est de séparer, du point de vue de la complexité de communication (la taille des messages), trois situations différentes : les protocoles déterministes, les protocoles probabilistes avec des bits aléatoires publics et les protocoles probabilistes avec uniquement des bits aléatoires privés. Pour ce faire nous travaillons autour de la fonction booléenne Jumeaux, dont le résultat est vrai si le graphe possède deux sommets ayant le même voisinage, et f aux sinon.","de l’article est de séparer, du point de vue de la complexité de communication (la taille des messages), trois situations différentes","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
Controlling the transport of an ion: classical and quantum mechanical solutions,"The accurate transport of an ion over macroscopic distances represents a challenging control problem due to the different length and time scales that enter and the experimental limitations on the controls that need to be accounted for. Here, we investigate the performance of different control techniques for ion transport in state-of-the-art segmented miniaturized ion traps. We employ numerical optimization of classical trajectories and quantum wavepacket propagation as well as analytical solutions derived from invariant based inverse engineering and geometric optimal control. The applicability of each of the control methods depends on the length and time scales of the transport. Our comprehensive set of tools allows us make a number of observations. We find that accurate shuttling can be performed with operation times below the trap oscillation period. The maximum speed is limited by the maximum acceleration that can be exerted on the ion. When using controls obtained from classical dynamics for wavepacket propagation, wavepacket squeezing is the only quantum effect that comes into play for a large range of trapping parameters. We show that this can be corrected by a compensating force derived from invariant based inverse engineering, without a significant increase in the operation time. Content from this work may be used under the terms of the Creative Commons Attribution 3.0 licence. Any further distribution of this work must maintain attribution to the author(s) and the title of the work, journal citation and DOI. New Journal of Physics 16 (2014) 075007 1367-2630/14/075007+22$33.00 © 2014 IOP Publishing Ltd and Deutsche Physikalische Gesellschaft",The applicability of each of the control methods depends on the,"[0.2727272727272727, 0.2727272727272727, 0.2727272727272727]"
Enhancing Retrieval of Geological Text using Named Entity Disambiguation,"Abstract— The paper presents a comparative study of performance of different information retrieval models and cooccurrence based place name disambiguation and query expansion on a geological text corpus. As an initial step, we have created a moderate sized corpus containing documents pertaining to geology of the Indian subcontinent and performed indexing and retrieval on the collection. The different retrieval models considered are TF-IDF, BM25, InL2, PL2, IFB2, BB2, InexpB2 and InexpC2. After this a cooccurrence graph based disambiguation algorithm to resolve ambiguities in place names in the corpus is introduced. After disambiguation, using neighborhoods in the co-occurrence graph, the query can be expanded with related place names. Our experiments on a Geological corpus (IITKGPGEOCORP) show that query expansion with place disambiguation performs significantly better than baseline method.",and cooccurrence based place name disambiguation and query expansion,"[0.2222222222222222, 0.2222222222222222, 0.2222222222222222]"
Context-aware web search using dynamically weighted information fusion,"Web search has become a cornerstone tool for Internet users. The information one is able to retrieve quickly with commercial tools is awe inspiring, yet average users still remain frustrated with finding information that is truly relevant to them. In our research, we seek to show that if we utilize key pieces of information about a user and their current context, we can provide more accurate results. We do this by exploring context data, using query enhancement techniques, and appropriately fusing the results to provide the best ordering when presenting the results to the user. Context data includes a user’s personal calendar, location, preferences, personal vocabulary, and peer recommendations. Query enhancement involves utilizing relevant contextual information to decorate a user’s query text to produce a more focused query. Information fusion allows the query results to be compared and re-ordered using contextual data by utilizing either a sum of products, a Bayesian technique, or a combination of the two. We find that by combining these methods, we are able to significantly enhance the search results. We have performed a case study and present the results here. Copyright © 2011 John Wiley & Sons, Ltd.",Query enhancement involves utilizing relevant contextual information to,"[0.125, 0.1111111111111111, 0.11764705882352941]"
Threat modeling of the security architectures of various wireless technologies,"In this paper, we introduce some tools to design wireless data transmission technologies and a generic model of security layers. This model would help the engineers to introduce good security practices with less efforts and based on a threat modeling methodology. We propose also the usage of generic documents as well as a methodology that bridges the gap between the generic model and a formal tool in cryptography that will allow to update a concrete model.",generic model of security layers would help the engineers to,"[0.4, 0.4, 0.4000000000000001]"
Connecting 3-D Concrete Bridge Design to 3-D Site Measurements,"This paper describes the first results of an R&D project “Intelligent Bridge” carried out in Finland. The aim of the project is to develop new methods for 3-D design of concrete bridges and further connect and bring the design models to the source information of site measurements. A new design concept for 3-D concrete bridge design was developed and preliminarily tested in a pilot design office. The site tests of the first implementations of real time CAD/CAM measurements using a 3-D robot tachometer, as well as a 3-D laser scanning technique, are presented and evaluated.",new design concept for 3-D concrete bridge design was,"[0.5, 0.45454545454545453, 0.47619047619047616]"
Optimizing Features in Active Machine Learning for Complex Qualitative Content Analysis,"We propose a semi-automatic approach for content analysis that leverages machine learning (ML) being initially trained on a small set of hand-coded data to perform a first pass in coding, and then have human annotators correct machine annotations in order to produce more examples to retrain the existing model incrementally for better performance. In this “active learning” approach, it is equally important to optimize the creation of the initial ML model given less training data so that the model is able to capture most if not all positive examples, and filter out as many negative examples as possible for human annotators to correct. This paper reports our attempt to optimize the initial ML model through feature exploration in a complex content analysis project that uses a multidimensional coding scheme, and contains codes with sparse positive examples. While different codes respond optimally to different combinations of features, we show that it is possible to create an optimal initial ML model using only a single combination of features for codes with at least 100 positive examples in the gold standard corpus.",ML model given less training data so that the initial ML,"[0.0, 0.0, 0.0]"
Physics Performance of the Barrel RPC System of the HARP Experiment,"The physics performance of the barrel RPC system of the HARP experiment is described. In the barrel two sets of fifteen identical resistive plate chambers (RPCs) have been operated in 2001 and 2002 as a part of the HARP experiment at the CERN PS accelerator. For the first time under real experimental conditions RPCs have bean applied for particle identification (PID) by measuring the particle's time-of-flight (ToF). The procedure developed for the RPC calibration, based on reconstructed tracks in the HARP Time Projection Chamber (TPC), is described in detail. Intrinsic RPC time resolutions of 141 ps and a combined time resolution of the large angle TOF system of 180 ps are obtained. The effective resolution of the comparison of predicted and measured ToF is 305 ps in the region of interest for this experiment. The PID capabilities of the system are demonstrated. An average efficiency of the RPC counters of about 97% is measured",The PID capabilities of the barrel RPC system of the HARP,"[0.7272727272727273, 0.7272727272727273, 0.7272727272727273]"
Stability of Some Generalized Godunov Schemes With Linear High-Order Reconstructions,"Classical Semi-Lagrangian schemes have the advantage of allowing large time steps, but fail in general to be conservative. Trying to keep the advantages of both large time steps and conservative structure, Flux-Form Semi-Lagrangian schemes have been proposed for various problems, in a form which represent (at least in a single space dimension) a high-order, large time-step generalization of the Godunov scheme. At the theoretical level, a recent result has shown the equivalence of the two versions of Semi-Lagrangian schemes for constant coefficient advection equations, while, on the other hand, classical Semi-Lagrangian schemes have been proved to be strictly related to area-weighted Lagrange–Galerkin schemes for both constant and variable coefficient equations. We address in this paper a further issue in this theoretical framework, i.e., the relationship between stability of classical and of FluxForm Semi-Lagrangian schemes. We show that the stability of the former class implies the stability of the latter, at least in the case of the one-dimensional linear continuity equation.",the stability of the former class implies the stability of,"[0.2, 0.18181818181818182, 0.1904761904761905]"
Upcycling strategies for waste electronic and electrical equipment based on material flow analysis,"Upcycling generally refers to the conversion of waste materials to something useful or valuable and is a useful concept that can be applied not only to the waste design industry but also to waste recycling and resource circulation. Our study highlights upcycling as the key concept for improving the value of waste by redefining the concept as “the recycling of waste materials and discarded products in ways that enhance their value.” Four upcycling strategies are linked to material flow analyses conducted on waste electronic and electrical equipment, specifically waste refrigerators and waste computers, to examine the technologies available for implementation and suggest guidelines for the promotion of upcycling. The amount of waste refrigerators collected by the formal sector was 121,642 tons/y and the informal sector, 63,823 tons/y. The current recycling ratio of waste refrigerators was estimated as 88.53%. A total of 7,585 tons/y of waste computers were collected by the formal sector and 3,807 tons/y by the informal sector after discharge. Meanwhile, the current recycling ratio of waste computers was estimated as 77.43%. We found that it is possible to introduce 28 upcycling technologies in the case of refrigerators, and 15 technologies are available to promote upcycling in the case of computers. By refining the broad concept of upcycling and looking at the stages of material flow, our approach presents universally applicable directions for incorporating upcycling in resource recovery and recirculation plans.",the value of waste by redefining upcycling as “the recycling of waste materials,"[0.23076923076923078, 0.23076923076923078, 0.23076923076923078]"
A kind of Cache Engine Runing in Client,"To address the lack of intelligence and the traditional client engine server overload problem, we design a browser-based caching mechanism and ajax technology, Cache Engine (CE).It will separate the business logic from data access, and business logic will be transferred to the client implementation, while the business logic in the client-side caching of data involved, the formation of smart client system.Theory and Practice shows that CE can effectively reduce the number of server access, reduce server load and reduce network traffic, while making web applications more intelligent. KeywordsCache Engine, client-side, load",intelligence and the traditional client engine server overload,"[0.25, 0.25, 0.25]"
Melia: A MapReduce Framework on OpenCL-Based FPGAs,"MapReduce, originally developed by Google for search applications, has recently become a popular programming framework for parallel and distributed environments. This paper presents an energy-efficient architecture design for MapReduce on Field Programmable Gate Arrays (FPGAs). The major goal is to enable users to program FPGAs with simple MapReduce interfaces, and meanwhile to embrace automatic performance optimizations within the MapReduce framework. Compared to other processors like CPUs and GPUs, FPGAs are (re-)programmable hardware and have very low energy consumption. However, the design and implementation of MapReduce on FPGAs can be challenging: firstly, FPGAs are usually programmed with hardware description languages, which hurts the programmability of the MapReduce design to its users; secondly, since MapReduce has irregular access patterns (especially in the reduce phase) and needs to support user-defined functions, careful designs and optimizations are required for efficiency. In this paper, we design, implement and evaluate Melia, a MapReduce framework on FPGAs. Melia takes advantage of the recent OpenCL programming framework developed for Altera FPGAs, and abstracts FPGAs behind the simple and familiar MapReduce interfaces in C. We further develop a series of FPGA-centric optimization techniques to improve the efficiency of Melia, and a costand resource-based approach to automate the parameter settings for those optimizations. We evaluate Melia on a recent Altera Stratix V GX FPGA with a number of commonly used MapReduce benchmarks. Our results demonstrate that 1) the efficiency and effectiveness of our optimizations and automated parameter setting approach, 2) Melia can achieve promising energy efficiency in comparison with its counterparts on CPUs/GPUs on both single-FPGA and cluster settings.",MapReduce framework on FPGAs takes advantage of,"[0.5714285714285714, 0.5, 0.5333333333333333]"
High statistics calculations of quenched QCD spectrum using various quark sources,"We present the results for the hadron spectrum calculated on 400 configurations using point source, wall source and 8-cubic sources, in quenched QCD with Wilson fermions at β = 6.0 and K = 0.155 on a 24 3 × 54 lattice. The results for the ground state masses obtained with three types of quark sources agree well with each other. Masses of the first excited states appear consistent with experimental values within large errors. Recent high statistics simulations of quenched QCD have produced high quality data for the masses of light hadrons[1–5]. However, mass results obtained with various types of quark sources often do not agree with each other[6,1,2]. Masses of the first excited states also often appear unexpectedly heavy[2,3,7]. In order to resolve these problems, the QCD-PAX Collaboration has carried out a high statistics quenched calculation with Wilson quarks at β= 6.0 on a 24 3 × 54 lattice. Taking the last configuration of our previous work[1] as a starting configuration, we have generated new 400 configurations which are separated by 1000 heat bath sweeps. We choose K = 0.155: This K corresponds approximately to the strange quark mass, because the m π /m ρ appears to be 0.7. We use three types of quark sources: point source, wall source and 8-origin cubic sources of a size 7 3 (with a random Z(3) element on each cube). We call the third source multi-cube source. Hereafter we abbreviate them to p-, wand m-sources, respectively. Point sinks are used for all sources. Configurations are fixed to Coulomb gauge before quark propagators are solved for the wand the m-sources. Although we have 600 samples for the p-source in total, we report the results obtained by using the new 400 configura-* Talk presented by T.Yoshié at Lattice '93 tions, in order to compare results with three types of sources on an equal footing. Masses of the ground states are determined by global fits to data for [t min , t max ] for which the χ 2 /dof of the fits are less than 1.5. We take account of time correlations in the fits. Errors are estimated by single elimination jack-knife procedure. We have checked that errors do not change significantly even if we change the bin size in the jack-knife error analyses. In addition, we have estimated errors which depend on the choice of fitting ranges. Here we define the fitting-dependent upper …",the ground state masses obtained with three types of quark sources,"[0.2727272727272727, 0.2727272727272727, 0.2727272727272727]"
Inter-Tier Interference Suppression in Heterogeneous Cloud Radio Access Networks,"Incorporating cloud computing into heterogeneous networks, the heterogeneous cloud radio access network (H-CRAN) has been proposed as a promising paradigm to enhance both spectral and energy efficiencies. Developing interference suppression strategies is critical for suppressing the inter-tier interference between remote radio heads (RRHs) and a macro base station (MBS) in H-CRANs. In this paper, inter-tier interference suppression techniques are considered in the contexts of collaborative processing and cooperative radio resource allocation (CRRA). In particular, interference collaboration (IC) and beamforming (BF) are proposed to suppress the inter-tier interference, and their corresponding performance is evaluated. Closed-form expressions for the overall outage probabilities, system capacities, and average bit error rates under these two schemes are derived. Furthermore, IC- and BF-based CRRA optimization models are presented to maximize the RRH-accessed users' sum rates via power allocation, which is solved with convex optimization. Simulation results demonstrate that the derived expressions for these performance metrics for IC and BF are accurate, and the relative performance between IC and BF schemes depends on system parameters such as the number of antennas at the MBS, the number of RRHs, and the target signal-to-interference-plus-noise ratio threshold. Furthermore, it is seen that the sum rates of IC and BF schemes increase almost linearly with the transmit power threshold under the proposed CRRA optimization solution.",and the relative performance between IC and BF schemes,"[0.0, 0.0, 0.0]"
